GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABZEE001,ABZEE002,ABZEE003,ABZEE004,ABZEE005,ABZEE006,ABZEE007,ABZEE008,ABZEE009,ABZEE010,ABZEE011,ABZEE012,ABZEE013,ABZEE014,ABZEE015,ABZEE016,ABZEE017,ABZEE018,ABZEE019,ABZEE020,ABZEE021,NAME_M,ABZEM001,ABZEM002,ABZEM003,ABZEM004,ABZEM005,ABZEM006,ABZEM007,ABZEM008,ABZEM009,ABZEM010,ABZEM011,ABZEM012,ABZEM013,ABZEM014,ABZEM015,ABZEM016,ABZEM017,ABZEM018,ABZEM019,ABZEM020,ABZEM021
"G1100010","2010-2014","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US11001",,"District of Columbia, District of Columbia",267415,111198,79288,898,26757,3287,0,26,94,403,445,156217,78801,1599,69437,3269,44,0,33,954,2080,"District of Columbia, District of Columbia",1579,1568,1145,165,1020,335,29,23,57,119,169,1852,1670,231,1472,345,35,29,33,197,268
"G2400010","2010-2014","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24001",,"Allegany County, Maryland",28490,19769,9595,633,4076,2938,573,1735,9,147,63,8721,3964,96,3737,599,89,118,0,72,46,"Allegany County, Maryland",530,513,475,144,364,290,125,231,13,76,47,536,387,41,315,111,47,61,28,48,29
"G2400030","2010-2014","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24003",,"Anne Arundel County, Maryland",201429,149541,52994,4586,65840,22881,8,2290,29,682,231,51888,18521,715,28632,3497,0,138,0,107,278,"Anne Arundel County, Maryland",993,1534,1382,446,1370,858,13,294,34,205,115,1311,917,193,1089,499,28,93,28,89,106
"G2400050","2010-2014","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24005",,"Baltimore County, Maryland",313408,207603,116297,4610,56950,26329,130,1829,34,1006,418,105805,52955,814,46654,4117,94,184,37,425,525,"Baltimore County, Maryland",1559,1988,1717,359,1267,759,75,229,37,215,125,1561,1403,150,1436,460,99,92,31,133,132
"G2400090","2010-2014","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24009",,"Calvert County, Maryland",31041,25209,742,2030,17190,3869,0,1076,10,205,87,5832,471,211,4361,630,0,120,0,15,24,"Calvert County, Maryland",421,548,142,298,606,361,28,225,17,119,55,448,107,109,466,154,28,103,28,24,25
"G2400110","2010-2014","MD",,,"Maryland","24","Caroline County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24011",,"Caroline County, Maryland",11842,8383,269,1648,3361,2336,0,588,0,133,48,3459,51,532,2019,686,0,139,0,0,32,"Caroline County, Maryland",303,258,95,214,245,243,25,126,25,70,32,273,38,127,242,159,25,70,25,25,24
"G2400130","2010-2014","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24013",,"Carroll County, Maryland",59907,49398,10297,2606,21162,12458,107,2376,0,267,125,10509,1383,319,6482,1900,53,246,5,59,62,"Carroll County, Maryland",487,565,437,319,692,594,63,283,28,101,59,551,234,138,392,302,38,117,11,43,40
"G2400150","2010-2014","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24015",,"Cecil County, Maryland",36453,26693,3902,5469,7853,7778,39,1219,12,345,76,9760,2157,663,4982,1729,8,87,0,70,64,"Cecil County, Maryland",507,637,377,451,493,556,31,213,18,127,77,620,353,194,414,268,13,67,28,61,43
"G2400170","2010-2014","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24017",,"Charles County, Maryland",52269,40740,9387,1473,20296,8399,0,910,0,170,105,11529,1836,212,7988,1391,0,74,0,8,20,"Charles County, Maryland",551,580,480,237,698,464,28,173,28,74,61,558,316,97,477,273,28,47,28,13,24
"G2400190","2010-2014","MD",,,"Maryland","24","Dorchester County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24019",,"Dorchester County, Maryland",13419,8836,848,1098,3724,2645,7,357,0,133,24,4583,848,212,2868,595,0,10,0,0,50,"Dorchester County, Maryland",333,291,160,152,293,258,8,93,25,57,30,302,153,88,280,169,25,15,25,25,38
"G2400210","2010-2014","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24021",,"Frederick County, Maryland",87259,64897,21450,2630,28814,8975,104,2436,56,257,175,22362,5527,411,14121,1782,0,356,0,49,116,"Frederick County, Maryland",599,822,678,291,907,409,53,283,43,101,70,895,478,130,738,237,28,135,28,39,68
"G2400230","2010-2014","MD",,,"Maryland","24","Garrett County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24023",,"Garrett County, Maryland",11851,8984,1261,1127,1912,2392,642,1537,0,90,23,2867,473,141,1098,779,79,248,0,39,10,"Garrett County, Maryland",408,318,155,156,228,241,121,184,22,47,24,331,102,68,176,174,53,110,22,33,16
"G2400250","2010-2014","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24025",,"Harford County, Maryland",91037,72008,27830,3809,25569,12059,111,1551,42,819,218,19029,5868,496,10624,1669,26,158,19,85,84,"Harford County, Maryland",709,949,799,343,887,640,66,223,37,196,125,815,500,144,715,275,30,68,29,79,48
"G2400270","2010-2014","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24027",,"Howard County, Maryland",107516,78764,35587,2114,33269,6736,0,596,38,274,150,28752,9626,167,18115,681,0,43,0,20,100,"Howard County, Maryland",690,1082,1004,255,897,477,28,132,37,102,71,906,715,82,748,225,28,58,28,23,66
"G2400290","2010-2014","MD",,,"Maryland","24","Kent County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US24029",,"Kent County, Maryland",7448,5383,150,1183,2377,1303,9,234,0,109,18,2065,64,214,1233,506,0,41,0,0,7,"Kent County, Maryland",326,238,80,154,226,153,12,69,19,74,26,247,51,107,216,134,19,36,19,19,11
