GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,TL_GEO_ID,NAME_E,AVF5E001,AVF5E002,AVF5E003,AVF5E004,AVF5E005,AVF5E006,AVF5E007,AVF5E008,AVF5E009,AVF5E010,AVF5E011,AVF5E012,AVF5E013,AVF5E014,AVF5E015,AVF5E016,AVF5E017,AVF5E018,AVF5E019,AVF5E020,AVF5E021,NAME_M,AVF5M001,AVF5M002,AVF5M003,AVF5M004,AVF5M005,AVF5M006,AVF5M007,AVF5M008,AVF5M009,AVF5M010,AVF5M011,AVF5M012,AVF5M013,AVF5M014,AVF5M015,AVF5M016,AVF5M017,AVF5M018,AVF5M019,AVF5M020,AVF5M021
"G1100010","2020-2024","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US11001",,"11001","District of Columbia, District of Columbia",324491,134683,85068,1466,44520,1453,0,0,636,577,963,189808,70493,2083,107822,1626,46,0,473,1780,5485,"District of Columbia, District of Columbia",1816,2554,2185,271,1688,270,35,35,143,194,234,2796,2739,377,2567,330,71,35,192,495,781
"G2400010","2020-2024","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24001",,"24001","Allegany County, Maryland",27382,19363,9865,807,5242,1903,197,1055,0,243,51,8019,3947,256,2965,419,87,206,0,30,109,"Allegany County, Maryland",459,567,576,188,422,261,66,234,32,125,40,558,420,158,337,113,75,127,32,29,92
"G2400030","2020-2024","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24003",,"24003","Anne Arundel County, Maryland",224748,168852,64856,6190,78099,16468,45,1300,651,798,445,55896,18311,1029,34012,1631,17,34,219,86,557,"Anne Arundel County, Maryland",982,1914,2083,710,1718,847,56,308,222,244,143,1724,1339,234,1505,329,30,33,106,51,241
"G2400050","2020-2024","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24005",,"24005","Baltimore County, Maryland",332801,220908,121947,6295,68702,20161,145,1242,470,1080,866,111893,49289,2563,56171,2229,0,171,56,469,945,"Baltimore County, Maryland",1226,2453,2371,561,1883,910,131,260,141,257,221,2195,1685,510,2078,406,32,107,52,238,185
"G2400090","2020-2024","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24009",,"24009","Calvert County, Maryland",33465,29183,1360,2012,21096,3088,0,1160,120,259,88,4282,304,229,3359,360,0,17,13,0,0,"Calvert County, Maryland",496,567,265,373,706,440,32,349,64,119,64,528,123,106,481,160,32,26,22,32,32
"G2400110","2020-2024","MD",,,"Maryland","24","Caroline County","011",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24011",,"24011","Caroline County, Maryland",12495,8978,330,1433,4734,1437,2,543,124,258,117,3517,164,430,2458,383,0,37,0,20,25,"Caroline County, Maryland",251,352,121,229,366,226,4,156,98,109,64,304,81,181,299,131,29,28,29,22,21
"G2400130","2020-2024","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24013",,"24013","Carroll County, Maryland",64285,54223,12134,2756,25772,10328,57,2260,111,559,246,10062,1501,261,6659,1058,0,457,0,53,73,"Carroll County, Maryland",428,836,735,310,926,609,48,383,59,222,188,843,302,116,598,240,32,288,32,55,42
"G2400150","2020-2024","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24015",,"24015","Cecil County, Maryland",40595,30557,4665,7125,10267,6591,77,899,338,404,191,10038,2129,736,5744,988,0,218,0,24,199,"Cecil County, Maryland",513,847,576,706,783,524,54,262,124,181,120,789,345,227,666,277,32,143,32,24,138
"G2400170","2020-2024","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24017",,"24017","Charles County, Maryland",60875,49958,14397,2243,25716,6112,27,1029,184,179,71,10917,1574,210,8023,925,0,92,0,12,81,"Charles County, Maryland",526,916,821,379,867,570,43,269,134,138,57,804,392,92,649,259,32,68,32,19,63
"G2400190","2020-2024","MD",,,"Maryland","24","Dorchester County","019",,,,,,,,,,,,,,,,,,,,,,,,,"0500000US24019",,"24019","Dorchester County, Maryland",13546,8882,1316,1115,3988,1767,21,343,146,72,114,4664,810,188,3200,326,0,64,0,8,68,"Dorchester County, Maryland",385,364,235,191,369,243,31,96,92,39,68,441,234,88,406,108,29,64,29,12,74
